name,platform,year_of_release,gendre,publisher,developer,rating
Choro Q Marine: Q Boat,PS,1998,Racing,Takara,,
Shining Force III: Scenario 2,SAT,1998,Strategy,Sega,,
Bottom of the 9th '99,PS,1998,Sports,Konami Digital Entertainment,,
Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998,Action,Swing! Entertainment,,
Thunder Force V: Perfect System,PS,1998,Shooter,TechnoSoft,,
Bakusou Kyoudai Let's & Go!! Eternal Wings,PS,1998,Racing,Jaleco,,
Chameleon Twist 2,N64,1998,Platform,Infogrames,,
Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,PS,1998,Misc,Gainax Network Systems,,
Silhouette Mirage,PS,1998,Platform,ESP,Treasure,E
StarCraft,PC,1998,Strategy,Activision,Blizzard Entertainment,T
Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998,Strategy,Tecmo Koei,,
Angelique Duet,PS,1998,Strategy,Tecmo Koei,,
The King of Fighters Kyo,PS,1998,Fighting,SNK Playmore,,
The Smurfs,PS,1998,Action,Infogrames,,
Breeding Stud 2,PS,1998,Sports,Konami Digital Entertainment,,
Dead Ball Zone,PS,1998,Sports,GT Interactive,,
NBA In The Zone '99,N64,1998,Sports,Konami Digital Entertainment,,
Deadly Arts,N64,1998,Fighting,Konami Digital Entertainment,,
Point Blank 2,PS,1998,Shooter,Namco Bandai Games,,
Warhammer: Dark Omen,PS,1998,Strategy,Electronic Arts,,
